Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.173435642434629,-0.174140588749076,0.126307476789246,0,0,0,0.238872717444671,0.000817252077680443,7.05995383950867E-05,8.56019099787166E-06,0.000415446001287099,0.000166134080735539,0.00115428425378633,0,0,0,0,0,0,package://henry/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://henry/meshes/base_link.STL,,BodyOver-1;BodyUnder-1;Cleanservo.sat-4;Cleanservo.sat-3;Cleanservo.sat-7;Cleanservo.sat-10;Cleanservo.sat-16;Cleanservo.sat-13,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rf1,0.0239617769126423,0.00977417541206638,0.0172023748123089,0,0,0,0.0189029209475951,1.73612076734369E-06,-3.88392958885413E-07,1.5341145697343E-08,4.36206678607211E-06,5.95703021550181E-10,3.89874545319436E-06,0,0,0,0,0,0,package://henry/meshes/rf1.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://henry/meshes/rf1.STL,,UNion.sat-5;Cleanservo.sat-14,Origin_rf1,rf1,rf1,revolute,0.27526,-0.047191,0.07594,1.6509,-0.21081,-2.2219,base_link,0,1,0,0,0,0,0,,,,,,,,
rf2,-0.0297574934627785,0.0276231276523438,-0.0650091769718869,0,0,0,0.0134919984853836,7.06579696267872E-06,6.60024462919787E-06,1.4421900505478E-10,7.61584466803667E-06,9.73293433801223E-11,1.46141347444567E-05,0,0,0,0,0,0,package://henry/meshes/rf2.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://henry/meshes/rf2.STL,,LEG1servo.sat-5,Origin_rf2,rf2,rf2,revolute,0.011108,0.014843,-0.026931,-3.1416,0,-0.75964,rf1,0,0,1,0,0,0,0,,,,,,,,
rf3,-0.00581167993095025,-0.0307428585007131,0.0443017966081337,0,0,0,0.0218853301389518,2.4075275189424E-05,-5.96505941971694E-07,5.98651187850648E-10,1.37430204778423E-06,-1.53887831494052E-08,2.48655706141821E-05,0,0,0,0,0,0,package://henry/meshes/rf3.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://henry/meshes/rf3.STL,,RealLeg2.sat-5;Cleanservo.sat-15,Origin_rf3,rf3,rf3,revolute,-0.058541,0.055895,-0.0017097,3.1416,0,-0.75964,rf2,0,0,-1,0,0,0,0,,,,,,,,
rc1,0.0239617769752477,0.00977417538937275,0.0172023748828572,0,0,0,0.0189029208388506,1.7361207587771E-06,-3.88392958602862E-07,1.53411503789893E-08,4.36206677825745E-06,5.95702644725393E-10,3.89874545388262E-06,0,0,0,0,0,0,package://henry/meshes/rc1.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://henry/meshes/rc1.STL,,UNion.sat-6;Cleanservo.sat-17,Origin_rc1,rc1,rc1,revolute,0.2995,-0.17279,0.10201,1.7764,-0.092767,-3.0084,base_link,0,1,0,0,0,0,0,,,,,,,,
rc2,-0.0297574934627785,0.0276231276523438,-0.037095672601292,0,0,0,0.0134919984853836,7.06579696267869E-06,6.60024462919785E-06,1.44219005059333E-10,7.61584466803669E-06,9.73293433780047E-11,1.46141347444567E-05,0,0,0,0,0,0,package://henry/meshes/rc2.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://henry/meshes/rc2.STL,,LEG1servo.sat-6,Origin_rc2,rc2,rc2,revolute,0.0111075,0.0148424999999943,0.000982656521775233,-3.14159265358564,0,-0.759639213945676,rc1,0,0,1,0,0,0,0,,,,,,,,
rc3,-0.0308086792888062,0.0180979718317314,-0.00549384371073069,0,0,0,0.0218853239323103,1.36334458058034E-06,-1.53639069792522E-08,-3.42000806636164E-07,2.48655082339462E-05,5.99599435717527E-10,2.40861686507093E-05,0,0,0,0,0,0,package://henry/meshes/rc3.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://henry/meshes/rc3.STL,,Cleanservo.sat-18;RealLeg2.sat-6,Origin_rc3,rc3,rc3,revolute,-0.0585408825370353,0.0558949789496794,0,-1.5707963267949,0,-2.33043554074057,rc2,0,-1,0,0,0,0,0,,,,,,,,
rr1,-0.00443210409879202,0.0115858822620006,2.46431506683853E-05,0,0,0,0.018902920957519,1.73612076735604E-06,-1.5341146909132E-08,3.88392958862336E-07,3.89874545337054E-06,5.9570311305388E-10,4.36206678628257E-06,0,0,0,0,0,0,package://henry/meshes/rr1.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://henry/meshes/rr1.STL,,Cleanservo.sat-11;UNion.sat-4,Origin_rr1,rr1,rr1,revolute,0.27864,-0.27344,0.13549,-0.21147,-0.078329,-0.6343,base_link,0,0,1,0,0,0,0,,,,,,,,
rr2,-0.0297574934612655,0.0276231276539224,-0.012575182176349,0,0,0,0.0134919984853836,7.06579696239594E-06,6.60024462918606E-06,1.44218976519193E-10,7.61584466831939E-06,9.73293067743229E-11,1.46141347444567E-05,0,0,0,0,0,0,package://henry/meshes/rr2.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://henry/meshes/rr2.STL,,LEG1servo.sat-4,Origin_rr2,rr2,rr2,revolute,0.00842217282178481,0.0204507899332615,0.00509296773094614,-1.570796326781,0.759639213994305,-3.14159265358022,rr1,0,0,1,0,0,0,0,,,,,,,,
rr3,-0.00598950723296626,-0.0307379643730236,-0.00642252053998002,0,0,0,0.0218853320683937,2.40730978902938E-05,-6.4050100394264E-07,-1.89476902820187E-10,1.37643357197239E-06,-1.53719197649633E-08,2.48655265454778E-05,0,0,0,0,0,0,package://henry/meshes/rr3.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://henry/meshes/rr3.STL,,RealLeg2.sat-4;Cleanservo.sat-12,Origin_rr3,rr3,rr3,revolute,-0.0585408825370065,0.0558949789497107,0,-3.14159265356759,0,-0.811031112859337,rr2,0,0,-1,0,0,0,0,,,,,,,,
